Grupo terapéutico,Principio activo,Presentaciones,Dosis adulto,Dosis peso,Ajuste IR/IH,Vías,Notas,Área
Betabloqueante (FA/TA),Metoprolol (tartrato),1 mg/ml IV; 50–100 mg VO,IV 2.5–5 mg cada 5 min (máx 15 mg); VO 25–50 mg/12 h,—,Precaución en IH; no ajuste IR,"IV, VO",Evitar en asma/BAV alto grado.,Cardiología_MI
Calcioantagonista no-DHP,Diltiazem,25 mg/5 ml IV; 60–120 mg VO,"IV 0.25 mg/kg bolo, repetir 0.35 mg/kg; perfusión 5–15 mg/h",0.25–0.35 mg/kg,Precaución IH,"IV, VO",Evitar con FEVI baja; bradicardia.,Cardiología_MI
Vasodilatador potente,Nitroprusiato sódico,50 mg vial,0.3–10 mcg/kg/min IV,Peso-basado,Precaución IR/IH (tiocianatos),IV,Monitorización invasiva PA; evitar uso prolongado.,Cardiología_MI
HTA urgente,Labetalol,5 mg/ml IV,"20 mg IV, luego 20–80 mg cada 10 min o perfusión 0.5–2 mg/min",—,Precaución IR/IH,IV,Broncoespasmo en asmáticos.,Cardiología_MI
HTA urgente,Urapidilo,25 mg/5 ml IV; amp 50 mg,25 mg IV lenta; repetir según respuesta; perfusión 10–50 mg/h,—,Precaución IH,IV,Hipotensión/cefalea.,Cardiología_MI
IC crónica (ARNI),Sacubitrilo/valsartán,"24/26, 49/51, 97/103 mg VO",Iniciar 49/51 mg/12 h (ajustar); titular a 97/103 mg/12 h,—,Ajuste en IR e IH; contraind. IECA en 36 h previas,VO,Hipotensión; hiperK; tos menos que IECA.,Cardiología_MI
Diurético de asa,Torasemida,"5, 10, 20 mg VO",10–20 mg/día (equivalente aprox 20–40 mg furosemida),—,No ajuste IH; IR puede requerir más dosis,VO,Mejor biodisp que furosemida.,Cardiología_MI
Antialdosterónico,Espironolactona,"25, 50, 100 mg VO",12.5–25 mg/día y titular,—,Evitar si K+>5 o ClCr <30,VO,HiperK; ginecomastia.,Cardiología_MI
Glucósido cardiaco,Digoxina,0.25 mg VO/IV,Carga 0.5–1 mg en 24 h; mantenimiento 0.125–0.25 mg/día,—,Ajustar IR (acumula); precaución IH,"IV, VO","Intoxicación: arritmias, visión xantopsia; antídoto Fab.",Cardiología_MI
Nitrato,Dinitrato de isosorbida,5 mg IV (perfusión) ; 10–40 mg VO,5–20 mcg/min IV; VO 10–20 mg/8–12 h,—,Precaución IH,"IV, VO",Tolerancia; cefalea.,Cardiología_MI
Vasopresor 1ª línea,Noradrenalina,1 mg/ml; 4 mg/4 ml,0.05–1 mcg/kg/min IV,Peso-basado,Sin ajuste específico; vigilar perfusión,IV (central),Objetivo PAM ≥65 mmHg en sepsis.,UCI_Críticos
Vasopresor/inótropo,Adrenalina (epinefrina),1 mg/ml; 0.1 mg/ml,0.02–0.5 mcg/kg/min IV,Peso-basado,Sin ajuste específico,IV,"Anafilaxia refractaria, shock cardiogénico.",UCI_Críticos
Vasopresor adyuvante,Vasopresina,20 UI/ml,0.03 UI/min fijo (0.01–0.04),—,Sin ajuste en IR/IH,IV,No titular por TA; ahorra noradrenalina.,UCI_Críticos
Sedación UCI,Propofol,10 mg/ml,5–10 mg/kg/h (inducción 1–2 mg/kg),Peso-basado,Reducir en IH,IV,Síndrome infusión propofol (raro),UCI_Críticos
Sedación UCI/ansiól.,Dexmedetomidina,200 mcg/2 ml,0.2–1.4 mcg/kg/h (sin carga o carga 1 mcg/kg),Peso-basado,Sin ajuste IR; precaución IH,IV,Bradicardia/hipotensión; facilita destete.,UCI_Críticos
Bloqueo neuromuscular,Cisatracurio,2 mg/ml,Bolo 0.1–0.2 mg/kg; perfusión 1–3 mcg/kg/min,Peso-basado,Sin ajuste IR/IH (Hofmann),IV,Monitorizar TOF.,UCI_Críticos
Analgesia UCI,Remifentanilo,1–2 mg liof; 50 mcg/ml tras reconstitución,0.025–0.2 mcg/kg/min,Peso-basado,Sin ajuste IR/IH (esterasas),IV,Inicio/fin muy rápidos.,UCI_Críticos
Antiulceroso UCI,Pantoprazol,40 mg IV/VO,40 mg/24 h,—,Sin ajuste,"IV, VO",Profilaxis úlcera estrés.,UCI_Críticos
Corticoide sepsis,Hidrocortisona,100 mg vial,50 mg IV/6 h (200 mg/día),—,Sin ajuste,IV,Shock séptico refractario.,UCI_Críticos
Broncodilatador,Salbutamol nebulizado,2.5–5 mg/2.5 ml,2.5–5 mg cada 20 min x3 luego c/4–6 h,0.15 mg/kg,Sin ajuste,Nebulizada,"Vigilar hipoK, taquicardia.",UCI_Críticos
Intoxicación por metanol/etilenglicol,Fomepizol,1.5 g/100 ml (según centro),Carga 15 mg/kg IV; luego 10 mg/kg/12 h (15 mg/kg/12 h tras 48 h),Peso-basado,Ajustar en HD (dosis extra post-HD),IV,Alternativa: etanol IV si no disponible.,Antídotos
Intoxicación por cianuro,Hidroxocobalamina,5 g vial,5 g IV en 15 min; repetir 5 g si persiste,—,Sin ajuste,IV,Tiñe piel/orina rojo; interfiere gasometría.,Antídotos
Metahemoglobinemia,Azul de metileno,10 mg/ml,1–2 mg/kg IV en 5 min (repetir a 1 h si precisa),1–2 mg/kg,Evitar en deficiencia G6PD,IV,Puede causar síndrome serotoninérgico con ISRS.,Antídotos
Organofosforados/carbamatos,Atropina + Pralidoxima,1 mg/ml; 1 g/20 ml,Atropina 2 mg IV repetida hasta secreciones secas; Pralidoxima 30 mg/kg IV en 30 min y luego 8–10 mg/kg/h,Peso-basado,Sin ajuste específico,IV,Mantener atropinización; convulsiones: BZD.,Antídotos
Sobredosis paracetamol,N-acetilcisteína (NAC),200 mg/ml IV; 600 mg VO,Esquema 150/50/100 mg/kg IV,Peso-basado,Sin ajuste,"IV, VO",Reacciones anafilactoides: detener/retomar lento.,Antídotos
Sobredosis digoxina,Fab anti-digoxina,Frascos 38–40 mg,Calcular por niveles o dosis ingerida; empírico 4–6 viales en inestables,Peso-basado indirecto,Sin ajuste,IV,Vigilar hipopotasemia de rebote.,Antídotos
Sobredosis hierro,Deferoxamina,500 mg vial,15 mg/kg/h IV (máx 6 g/día),15 mg/kg/h,Ajuste IR (riesgo sobrecarga),IV,Orina color vino; hipotensión si bolo rápido.,Antídotos
Amanita phalloides,Silibinina hemisuccinato,350 mg vial (según acceso),5 mg/kg bolo IV luego 20 mg/kg/día en perfusión,Peso-basado,Sin ajuste claro; vigilar IH,IV,Asociar N-acetilcisteína.,Antídotos
Metahemoglobinemia alternativa,Ácido ascórbico,500 mg–1 g,1–2 g IV,—,Sin ajuste,IV,Menos eficaz que azul de metileno.,Antídotos
Sobredosis opioides (larga duración),Nalmefeno,0.1 mg/ml,"0.25–0.5 mg IV, repetir según respuesta",—,Sin ajuste,IV,Vida media más larga que naloxona.,Antídotos
