Grupo terapéutico,Principio activo,Presentaciones habituales (España),Dosis adulto estándar (orientativa),Dosis basada en peso (orientativa),Ajuste en IR/IH (resumen),Vías,Notas/Advertencias
Hipoglucemia,Glucosa hipertónica,20% o 50% IV,"Adulto: 25 g (p.ej., 50 ml al 50%) IV en bolo.",0.5 g/kg (2 ml/kg al 25%).,IR/IH: sin ajuste.,IV,Revisar acceso venoso; riesgo extravasación.
Hipoglucemia/antic Betas,Glucagón,1 mg IM/SC; 1 mg IV,1 mg IM/SC (adulto); puede repetirse.,0.5 mg si <25 kg.,IR/IH: sin ajuste.,"IM, SC, IV",Ineficaz si depleción de glucógeno.
HiperK/estabiliza membrana,Gluconato cálcico,10% (0.22 mmol/ml),10 ml IV en 5–10 min; repetir si ECG no corrige.,—,IR/IH: sin ajuste.,IV,No mezclar con bicarbonato en la misma vía.
CAD/HiperK (shift),Insulina regular,100 U/ml,HiperK: 10 U IV + 25 g glucosa; CAD: 0.1 U/kg/h tras bolo 0.1 U/kg.,0.1 U/kg bolo y perfusión.,IR: reducir si tendencia a hipoglucemia. IH: sin ajuste.,"IV, SC",Monitorizar K+ y glucemias.
Alcalinizante,Bicarbonato sódico,1 mEq/ml (bolsa 100 mEq),"50–100 mEq IV según indicación (TSCA, hiperK con acidosis, TCA).",—,IR: vigilar Na+/volumen. IH: sin ajuste.,IV,No de rutina en PCR ni en CAD no complicada.
Antiarrítmico,Amiodarona,150 mg/3 ml; viales 150 mg,PCR FV/TV: 300 mg IV bolo; luego 150 mg. TV estable: 150 mg IV en 10 min.,5 mg/kg IV.,IR: sin ajuste. IH: precaución; vigilar función hepática.,"IV, VO",Evitar con bradicardia marcada/bloqueo AV.
Antiarrítmico,Adenosina,6 mg/2 ml; 12 mg/4 ml,"TPSV: 6 mg IV bolo rápido; si no revierte, 12 mg; repetir 12 mg.",0.1–0.2 mg/kg.,IR/IH: sin ajuste.,IV,Contraindicada en asma grave; bloqueo AV alto grado.
Anticolinérgico,Atropina,1 mg/1 ml,Bradicardia sintomática: 0.5 mg IV cada 3–5 min (máx 3 mg).,0.02 mg/kg (mín 0.1 mg).,IR/IH: sin ajuste.,IV,
Vasopresor,Noradrenalina,1 mg/ml; 4 mg/4 ml,Iniciar 0.05–0.1 mcg/kg/min y titular a PAM objetivo.,0.05–1 mcg/kg/min.,IR/IH: sin ajuste; vigilar perfusión periférica.,IV (central preferible),
Antiagregante,Ácido acetilsalicílico (AAS),100 mg; 300 mg (VO),SCA: 150–300 mg masticable carga; luego 100 mg/día.,—,IR: evitar en IR grave. IH: precaución.,VO,
Vasodilatador,Nitroglicerina,Solución perfusión (50 mg/10 ml),"5–10 mcg/min, aumentar 5–10 mcg/min cada 3–5 min hasta control síntomas/PA.",—,IR/IH: precaución.,IV,"Evitar si hipotensión, uso de inhibidores PDE5."
Anticoagulante,Heparina no fraccionada (HNF),ampollas 5000 UI; viales 25000 UI/5 ml,"Carga 60–80 UI/kg IV, perfusión 12–18 UI/kg/h (ajustar a TTPa).",UI/kg según protocolo.,IR: sin ajuste; IH: precaución (riesgo sangrado).,IV,Monitorizar TTPa.
HBPM,Enoxaparina,"20, 40, 60, 80, 100 mg (jeringas)",TEP/SCA: 1 mg/kg cada 12 h; si ClCr <30: 1 mg/kg cada 24 h.,1 mg/kg.,IR: ajustar como indicado. IH: precaución.,SC,Peso‑basado; no mezclar con HNF.
Antifibrinolítico,Ácido tranexámico,500 mg/5 ml; 1 g/10 ml,Hemorragia: 1 g IV en 10 min + 1 g en 8 h (o 10–15 mg/kg).,10–15 mg/kg.,IR: reducir dosis si ClCr <60. IH: sin ajuste.,IV,Administrar precoz (<3 h en trauma/PPH).
IBP,Omeprazol,40 mg vial; 20–40 mg VO,40 mg IV/VO cada 24 h (sangrado alto riesgo puede bolo+perfusión).,—,IR: sin ajuste. IH: precaución.,"IV, VO",
IBP,Pantoprazol,40 mg vial; 40 mg VO,40 mg IV/VO cada 24 h.,—,IR: sin ajuste. IH: precaución.,"IV, VO",
Antipsicótico,Haloperidol,5 mg/ml IV/IM; 1–5 mg VO,1–2 mg IV/IM; repetir cada 15–30 min (vigilar QT).,0.05 mg/kg.,IR: sin ajuste. IH: reducir.,"IV, IM, VO",Asociar BZD si precisa; ECG si dosis altas.
Butirofenona,Droperidol,2.5 mg/ml,1.25–2.5 mg IV (según náusea/agitación resistente).,—,IR/IH: precaución.,IV,QT prolongado: monitorizar.
Diurético de asa,Furosemida,20 mg/2 ml; 40 mg VO,20–40 mg IV; duplicar hasta respuesta (edema agudo pulmón).,0.5–1 mg/kg IV.,IR: pueden requerirse dosis mayores. IH: sin ajuste.,"IV, VO","Vigilar K+, creatinina."
Antibiótico betalactámico,Amoxicilina/clavulánico,1.2 g IV; 875/125 mg VO,1.2 g IV cada 8 h (ajustar según infección).,—,IR: espaciar si ClCr <30. IH: precaución (colestasis).,"IV, VO",
Cefalosporina 3ª,Ceftriaxona,1 g; 2 g viales IV,1–2 g IV cada 24 h (meningitis 2 g/12 h).,50 mg/kg/dosis.,IR: sin ajuste. IH: precaución.,"IV, IM",No mezclar con Ca en RN.
Antipseudomonal,Piperacilina/tazobactam,4.5 g IV,4.5 g IV cada 6–8 h (prolongar infusión según protocolo).,—,IR: ajustar si ClCr <40.,IV,
Carbapenem,Meropenem,1 g IV,1 g IV cada 8 h (meningitis 2 g/8 h).,20–40 mg/kg.,IR: ajustar si ClCr <50. IH: sin ajuste.,IV,
Glicopéptido,Vancomicina,500 mg; 1 g IV,15–20 mg/kg IV cada 8–12 h (monitorizar niveles).,15–20 mg/kg.,IR: ajustar según niveles y ClCr. IH: sin ajuste.,IV,Perfusión lenta; vigilar nefro/oto.
Nitroimidazol,Metronidazol,500 mg/100 ml IV; 250 mg VO,500 mg IV/VO cada 8 h.,7.5 mg/kg cada 8 h.,IR: sin ajuste. IH: reducir si IH grave.,"IV, VO",Evitar alcohol (reacción tipo disulfiram).
Macrólido,Azitromicina,"500 mg IV/VO (día 1), luego 250 mg/día VO",500 mg día 1; luego 250 mg/día (3–5 días según cuadro).,10 mg/kg día 1; 5 mg/kg/día siguientes.,IR: sin ajuste. IH: precaución.,"IV, VO",
Tetraciclina,Doxiciclina,100 mg VO/IV,100 mg cada 12 h (200 mg/día).,2 mg/kg cada 12 h.,IR: sin ajuste. IH: precaución.,"IV, VO",
Fluoroquinolona,Levofloxacino,500 mg; 750 mg VO/IV,500–750 mg cada 24 h según infección.,10–15 mg/kg/día.,IR: ajustar si ClCr <50. IH: precaución.,"IV, VO",QT/pro‑tendinopatía; evitar si alternativa.
