Grupo terapéutico,Principio activo,Presentaciones habituales (España),Dosis adulto estándar (orientativa),Dosis basada en peso (si aplica),Ajuste en IR/IH (resumen),Vías,Notas/Advertencias
Ansiolítico no BZD,Buspirona,"5, 10 mg VO","5 mg/8–12 h, titular a 20–30 mg/día.",—,IR/IH: precaución (evitar IH grave).,VO,No sedante; inicio lento (2–4 semanas).
Neuropático/ansiedad,Pregabalina,"25, 75, 150, 300 mg VO",75 mg/12 h; titular a 150–300 mg/12 h (máx 600 mg/día).,—,IR: ajustar por ClCr. IH: sin ajuste.,VO,Mareo/sedación; potencial abuso.
Dopaminérgico,Levodopa/carbidopa,"100/25, 200/50 mg VO; formulaciones LP",Iniciar 100/25 mg 1/2–1 cp cada 8 h; ajustar según respuesta.,—,IR: sin ajuste. IH: precaución.,VO,No suspender bruscamente; náusea/hipotensión.
Agonista dopaminérgico,Pramipexol,"0.125, 0.25, 1 mg VO","0.125 mg/8 h, titular cada 5–7 días hasta 0.5–1.5 mg/8 h.",—,IR: ajustar por ClCr. IH: sin ajuste.,VO,"Somnolencia, trastornos del control de impulsos."
Agonista dopaminérgico,Ropinirol,"0.25, 0.5, 1, 2, 5 mg VO","0.25 mg/8 h, titular semanalmente; LP 2 mg/día y ajustar.",—,IR: sin ajuste. IH: precaución.,VO,Náusea; hipotensión ortostática.
Agonista dopaminérgico parche,Rotigotina,"Parche 1, 2, 3, 4, 6, 8 mg/24 h","Iniciar 2 mg/24 h, titular 2 mg/semana (según indicación).",—,IR/IH: precaución.,Transdérmico,Reacciones cutáneas; trastornos del sueño.
COMT inhibidor (adyuvante),Entacapona,200 mg VO,200 mg junto a cada toma de levodopa (máx 8/día).,—,IR: sin ajuste. IH: precaución.,VO,Diarrrea; discinesias (aumentar con LD).
Antiviral dopaminérgico,Amantadina,100 mg VO; 200 mg/500 ml IV (según centros),100 mg/12–24 h; en discinesias 100–300 mg/día.,—,IR: ajustar por ClCr. IH: precaución.,"VO, IV (off‑label en algunos centros)","Confusión, livedo reticularis."
Triptán (rescate),Sumatriptán,"50, 100 mg VO; 6 mg SC; spray nasal 20 mg",VO 50–100 mg al inicio; SC 6 mg; puede repetir a las 2 h (máx 300 mg VO/24 h).,—,IR: precaución. IH: evitar en IH grave.,"VO, SC, nasal",Contraindicado en cardiopatía isquémica/HTA no controlada.
Triptán (rescate),Zolmitriptán,"2.5, 5 mg VO; nasal 5 mg",VO 2.5–5 mg; repetir a 2 h (máx 10 mg/24 h).,—,IR/IH: precaución.,"VO, nasal",Mismas precauciones cardiovasculares.
Antiemético (migraña),Metoclopramida,10 mg/2 ml IV; 10 mg VO,10 mg IV/VO al inicio de la crisis (ver tabla GI para ajustes).,0.1–0.15 mg/kg.,IR: reducir si ClCr <40. IH: reducir.,"IV, VO",Añade AINE/triptán según caso.
Preventivo migraña,Topiramato,"25, 50, 100 mg VO",Iniciar 25 mg noche; titular a 50 mg/12 h.,—,IR: ajustar si ClCr <70. IH: sin ajuste.,VO,Parestesias; pérdida peso; nefrolitiasis; teratogénico.
Preventivo migraña (beta‑bloq.),Propranolol,"10, 40 mg VO","40 mg/12 h, titular a 80–120 mg/12 h.",—,"IR/IH: precaución; evitar asma, BAV.",VO,Bradicardia; fatiga.
Preventivo migraña (ARA-II),Candesartán,"8, 16, 32 mg VO","8 mg/día, titular a 16–32 mg/día.",—,IR: ajustar en IR grave. IH: precaución.,VO,Hipotensión; hiperK.
Inhibidor AChE,Donepezilo,"5, 10 mg VO","5 mg noche 4–6 semanas, luego 10 mg noche si tolera.",—,IR: sin ajuste. IH: reducir en IH moderada‑grave.,VO,Bradicardia; insomnio; náusea.
Inhibidor AChE / parche,Rivastigmina,"1.5, 3, 4.5, 6 mg VO; parche 4.6/9.5/13.3 mg/24 h","VO 1.5 mg/12 h, titular; Parche iniciar 4.6 mg/24 h, titular cada 4 semanas.",—,IR/IH: precaución.,"VO, transdérmico",GI frecuentes; dermatitis con parche.
Modulador glutamatérgico,Memantina,10 mg VO; solución 10 mg/10 ml,"5 mg/día, titular semanalmente hasta 10 mg/12 h.",—,IR: reducir si ClCr <30. IH: precaución.,VO,"Mareo, confusión leve."
Anticolinérgico (distonía aguda),Biperideno,5 mg/ml IM/IV; 2 mg VO,Distonía aguda: 2.5–5 mg IM/IV; VO mantenimiento 2 mg/8–12 h.,—,IR/IH: precaución.,"IM, IV, VO","Anticolinérgico: sequedad, retención urinaria."
Sedación/analgesia adyuvante,Ketamina (subanestésica),50 mg/ml; 100 mg/ml,Dolor/neurosedación: 0.1–0.3 mg/kg IV; sedación 0.5–1 mg/kg IV.,0.1–1 mg/kg según objetivo.,IR: sin ajuste. IH: precaución.,"IV, IM",Útil en depresión resistente (off‑label hospital) bajo protocolos.
