Área,Grupo terapéutico,Principio activo,Presentaciones,Dosis adulto,Dosis peso,Ajuste IR/IH,Vías,Notas,Fuente,Dosis basada en peso (si aplica)
Antídotos,Sobredosis opioides (larga duración),Nalmefeno,0.1 mg/ml,"0.25–0.5 mg IV, repetir según respuesta",—,Sin ajuste,IV,Vida media más larga que naloxona.,hospitalarios.csv,
,Benzodiacepina (crisis/ansiedad),Diazepam,5 mg/ml IV; 10 mg rectal; 5–10 mg VO,Ansiedad/agitación: 2–10 mg IV/IM/VO según respuesta; Estatus: 10 mg IV lenta (repetible).,,"IR: sin ajuste relevante. IH: precaución, reducir.","IV, IM, VO, rectal",Depresión respiratoria; evitar con alcohol/opiáceos.,NeuroPsiquiatria.csv,0.1–0.3 mg/kg en convulsión (máx 10 mg por dosis).
,Benzodiazepina (estatus),Lorazepam,2 mg/ml IV; 1–2 mg VO,"Estatus: 4 mg IV lenta, repetible 2 mg cada 5–10 min (máx 8 mg inicial).",,IR: sin ajuste. IH: precaución.,"IV, VO",Vida media intermedia; monitorizar ventilación.,NeuroPsiquiatria.csv,0.05–0.1 mg/kg.
,Benzodiacepina (sedación),Midazolam,1 mg/ml y 5 mg/ml IV/IM; 15 mg VO (solución),Titulación IV 1–2 mg cada 1–2 min hasta efecto; perfusión según objetivo.,,IR: sin ajuste relevante. IH: reducir dosis.,"IV, IM, VO, IN",Útil intranasal en crisis; depresión respiratoria.,NeuroPsiquiatria.csv,0.02–0.1 mg/kg.
Neuro_Psiquiatría,Antiepiléptico,Levetiracetam,"500 mg, 1 g, 1.5 g VO; 500 mg/5 ml IV",Carga estatus: 60 mg/kg (máx 4500 mg) IV; Mantenimiento: 500–1500 mg cada 12 h.,,IR: ajustar según ClCr (↓ dosis/↑ intervalo). IH: sin ajuste.,"IV, VO","Bien tolerado; vigilar somnolencia, irritabilidad.",NeuroPsiquiatria.csv,Peso‑basado en carga (hasta 60 mg/kg).
Neuro_Psiquiatría,Antiepiléptico,Valproato sódico,400 mg/4 ml IV; 500 mg VO (depende marca),Carga estatus: 20–40 mg/kg IV; mantenimiento 500–1000 mg cada 12 h.,,IR: sin ajuste. IH: contraindicado en hepatopatía grave; monitorizar transaminasas.,"IV, VO",Riesgo hepatotoxicidad; trombocitopenia; teratógeno.,NeuroPsiquiatria.csv,20–40 mg/kg en carga.
Neuro_Psiquiatría,Antiepiléptico,Lacosamida,"200 mg/20 ml IV; 50, 100, 150, 200 mg VO",Carga 200–400 mg IV/VO; mantenimiento 100–200 mg cada 12 h.,,IR: ajustar si ClCr ≤30 ml/min (máx 300 mg/día). IH: precaución.,"IV, VO",Prolongación PR; cuidado en bloqueo AV.,NeuroPsiquiatria.csv,Carga no estrictamente peso‑basada (usar 4–8 mg/kg si <50 kg).
Neuro_Psiquiatría,Antiepiléptico,Fenitoína / fosfenitoína,Fenitoína 250 mg/5 ml; FOS 100 mg/ml,"Carga 15–20 mg/kg (FOS mejor IV), mantenimiento 4–6 mg/kg/día.",,IR: sin ajuste. IH: ajustar; alto metabolismo hepático.,"IV, VO",Arritmias con infusión rápida (≤50 mg/min fenitoína; FOS más segura).,NeuroPsiquiatria.csv,15–20 mg/kg carga.
Neuro_Psiquiatría,Antiepiléptico,Lamotrigina,"25, 50, 100 mg VO",50 mg/día e ir titulando cada 1–2 semanas hasta 100–200 mg/12 h.,,IR: precaución. IH: ajustar (metab hepático).,VO,Riesgo exantema grave (SJS) si titulación rápida o con valproato.,NeuroPsiquiatria.csv,—
,Antiepiléptico / Estabilizador del ánimo,Carbamazepina,200 mg VO (lib. inmediata); 400 mg lib. prolongada,"200 mg/12 h, aumentar 200 mg cada 3–4 días hasta 400–600 mg/12 h.",,IR: sin ajuste. IH: ajustar (metab hepático); autoinducción enzimática.,VO,"Hiponatremia, interacciones (CYP3A4).",NeuroPsiquiatria.csv,—
,Antipsicótico típico,Haloperidol,5 mg/ml IV/IM; 1–5 mg VO,"Agitación: 1–5 mg IV/IM, repetir cada 15–30 min; Mantenimiento 2–10 mg/día VO.",,IR: sin ajuste. IH: reducir dosis.,"IV, IM, VO",Prolongación QT; síndrome neuroléptico maligno (raro).,NeuroPsiquiatria.csv,0.05 mg/kg (pediatría).
,Antipsicótico atípico,Olanzapina,10 mg vial IM; 5–20 mg VO,Agitación IM: 10 mg (repetible hasta 30 mg/24 h); Oral 5–10 mg/día (ajustar).,,IR: sin ajuste. IH: precaución.,"IM, VO",Evitar IM concomitante con BZD parenteral (depresión respiratoria).,NeuroPsiquiatria.csv,—
,Antipsicótico atípico,Risperidona,1–4 mg VO; depósito palmitato (IM 25–150 mg),VO inicial 1 mg/12 h → 2–4 mg/día; Depot mensual según producto.,,IR: reducir si ClCr <30. IH: precaución.,"VO, IM (depot)",Síntomas extrapiramidales dosis‑dependientes.,NeuroPsiquiatria.csv,—
,Antipsicótico atípico,Quetiapina,"25, 100, 200, 300 mg VO","Inicio 25 mg/12 h, titular a 300–600 mg/día (psicosis); 25–100 mg noche (insomnio).",,IR: sin ajuste. IH: reducir (metab hepático).,VO,Sedación y ortostatismo frecuentes.,NeuroPsiquiatria.csv,—
,Antipsicótico atípico,Ziprasidona,20 mg/ml IM; 40–80 mg VO,"Agitación IM: 10–20 mg, repetir cada 2 h (máx 40 mg/24 h); Oral 40–80 mg/12 h con comida.",,IR/IH: precaución.,"IM, VO",Prolonga QT; evitar con otros fármacos QT.,NeuroPsiquiatria.csv,—
,Antipsicótico atípico,Aripiprazol,10 mg vial IM; 5–30 mg VO; depot mensual,Agitación IM: 9.75 mg (repetible); VO 10–15 mg/día (ajustar).,,IR: sin ajuste. IH: precaución (ajustar según interacciones CYP2D6/3A4).,"IM, VO",Menor riesgo metabólico; acatisia.,NeuroPsiquiatria.csv,—
,Antipsicótico atípico (resistente),Clozapina,"25, 100 mg VO",Inicio 12.5–25 mg/día; titular lentamente a 100–300 mg/día (según respuesta).,,IR: sin ajuste. IH: precaución.,VO,Agranulocitosis: control hematológico estricto; ileo paralítico; miocarditis (raro).,NeuroPsiquiatria.csv,—
,ISRS,Sertralina,"50, 100 mg VO","50 mg/día (depresión/ansiedad), titular hasta 100–200 mg/día.",,IR: sin ajuste. IH: reducir en IH moderada‑grave.,VO,Náusea inicial; disfunción sexual; riesgo serotoninérgico.,NeuroPsiquiatria.csv,—
,ISRS,Escitalopram,"10, 20 mg VO","10 mg/día, hasta 20 mg/día.",,IR: ajustar si ClCr <30; IH: 10 mg/día máx en IH grave.,VO,Prolonga QT (dosis altas).,NeuroPsiquiatria.csv,—
,IRSN,Duloxetina,"30, 60 mg VO","30–60 mg/día (dolor neuropático/ansiedad), máx 120 mg/día.",,IR: evitar si ClCr <30. IH: contraindicada en IH grave.,VO,Aumenta TA; náusea; retirada gradual.,NeuroPsiquiatria.csv,—
,IRSN,Venlafaxina,"37.5, 75, 150 mg VO (lib. prolongada)","75 mg/día, titular a 150–225 mg/día.",,IR: reducir dosis. IH: precaución.,VO,Aumenta TA (dosis altas); síndrome de retirada.,NeuroPsiquiatria.csv,—
,ATC (dolor/insomnio),Amitriptilina,"25, 75 mg VO",10–25 mg noche (dolor/insomnio); Depresión 25–50 mg/12 h (menos usado).,,IR: sin ajuste. IH: precaución.,VO,Anticolinérgico; cardiotoxicidad en sobredosis (QRS ancho).,NeuroPsiquiatria.csv,—
,ISRN/NaSSA (insomnio/appetit),Mirtazapina,"15, 30, 45 mg VO","15 mg noche, titular 30–45 mg.",,IR: reducir si ClCr <40. IH: precaución.,VO,Sedación y ↑apetito/peso.,NeuroPsiquiatria.csv,—
,Antidepresivo sedante,Trazodona,100 mg VO; 50 mg VO (según marca),25–100 mg noche (insomnio); Depresión hasta 150–300 mg/día.,,IR/IH: precaución.,VO,Priapismo raro; hipotensión ortostática.,NeuroPsiquiatria.csv,—
,Ansiolítico no BZD,Buspirona,"5, 10 mg VO","5 mg/8–12 h, titular a 20–30 mg/día.",,IR/IH: precaución (evitar IH grave).,VO,No sedante; inicio lento (2–4 semanas).,NeuroPsiquiatria.csv,—
,Neuropático/ansiedad,Pregabalina,"25, 75, 150, 300 mg VO",75 mg/12 h; titular a 150–300 mg/12 h (máx 600 mg/día).,,IR: ajustar por ClCr. IH: sin ajuste.,VO,Mareo/sedación; potencial abuso.,NeuroPsiquiatria.csv,—
,Dopaminérgico,Levodopa/carbidopa,"100/25, 200/50 mg VO; formulaciones LP",Iniciar 100/25 mg 1/2–1 cp cada 8 h; ajustar según respuesta.,,IR: sin ajuste. IH: precaución.,VO,No suspender bruscamente; náusea/hipotensión.,NeuroPsiquiatria.csv,—
,Agonista dopaminérgico,Pramipexol,"0.125, 0.25, 1 mg VO","0.125 mg/8 h, titular cada 5–7 días hasta 0.5–1.5 mg/8 h.",,IR: ajustar por ClCr. IH: sin ajuste.,VO,"Somnolencia, trastornos del control de impulsos.",NeuroPsiquiatria.csv,—
,Agonista dopaminérgico,Ropinirol,"0.25, 0.5, 1, 2, 5 mg VO","0.25 mg/8 h, titular semanalmente; LP 2 mg/día y ajustar.",,IR: sin ajuste. IH: precaución.,VO,Náusea; hipotensión ortostática.,NeuroPsiquiatria.csv,—
,Agonista dopaminérgico parche,Rotigotina,"Parche 1, 2, 3, 4, 6, 8 mg/24 h","Iniciar 2 mg/24 h, titular 2 mg/semana (según indicación).",,IR/IH: precaución.,Transdérmico,Reacciones cutáneas; trastornos del sueño.,NeuroPsiquiatria.csv,—
,COMT inhibidor (adyuvante),Entacapona,200 mg VO,200 mg junto a cada toma de levodopa (máx 8/día).,,IR: sin ajuste. IH: precaución.,VO,Diarrrea; discinesias (aumentar con LD).,NeuroPsiquiatria.csv,—
,Antiviral dopaminérgico,Amantadina,100 mg VO; 200 mg/500 ml IV (según centros),100 mg/12–24 h; en discinesias 100–300 mg/día.,,IR: ajustar por ClCr. IH: precaución.,"VO, IV (off‑label en algunos centros)","Confusión, livedo reticularis.",NeuroPsiquiatria.csv,—
,Triptán (rescate),Sumatriptán,"50, 100 mg VO; 6 mg SC; spray nasal 20 mg",VO 50–100 mg al inicio; SC 6 mg; puede repetir a las 2 h (máx 300 mg VO/24 h).,,IR: precaución. IH: evitar en IH grave.,"VO, SC, nasal",Contraindicado en cardiopatía isquémica/HTA no controlada.,NeuroPsiquiatria.csv,—
,Triptán (rescate),Zolmitriptán,"2.5, 5 mg VO; nasal 5 mg",VO 2.5–5 mg; repetir a 2 h (máx 10 mg/24 h).,,IR/IH: precaución.,"VO, nasal",Mismas precauciones cardiovasculares.,NeuroPsiquiatria.csv,—
,Antiemético (migraña),Metoclopramida,10 mg/2 ml IV; 10 mg VO,10 mg IV/VO al inicio de la crisis (ver tabla GI para ajustes).,,IR: reducir si ClCr <40. IH: reducir.,"IV, VO",Añade AINE/triptán según caso.,NeuroPsiquiatria.csv,0.1–0.15 mg/kg.
,Preventivo migraña,Topiramato,"25, 50, 100 mg VO",Iniciar 25 mg noche; titular a 50 mg/12 h.,,IR: ajustar si ClCr <70. IH: sin ajuste.,VO,Parestesias; pérdida peso; nefrolitiasis; teratogénico.,NeuroPsiquiatria.csv,—
,Preventivo migraña (beta‑bloq.),Propranolol,"10, 40 mg VO","40 mg/12 h, titular a 80–120 mg/12 h.",,"IR/IH: precaución; evitar asma, BAV.",VO,Bradicardia; fatiga.,NeuroPsiquiatria.csv,—
,Preventivo migraña (ARA-II),Candesartán,"8, 16, 32 mg VO","8 mg/día, titular a 16–32 mg/día.",,IR: ajustar en IR grave. IH: precaución.,VO,Hipotensión; hiperK.,NeuroPsiquiatria.csv,—
,Inhibidor AChE,Donepezilo,"5, 10 mg VO","5 mg noche 4–6 semanas, luego 10 mg noche si tolera.",,IR: sin ajuste. IH: reducir en IH moderada‑grave.,VO,Bradicardia; insomnio; náusea.,NeuroPsiquiatria.csv,—
,Inhibidor AChE / parche,Rivastigmina,"1.5, 3, 4.5, 6 mg VO; parche 4.6/9.5/13.3 mg/24 h","VO 1.5 mg/12 h, titular; Parche iniciar 4.6 mg/24 h, titular cada 4 semanas.",,IR/IH: precaución.,"VO, transdérmico",GI frecuentes; dermatitis con parche.,NeuroPsiquiatria.csv,—
,Modulador glutamatérgico,Memantina,10 mg VO; solución 10 mg/10 ml,"5 mg/día, titular semanalmente hasta 10 mg/12 h.",,IR: reducir si ClCr <30. IH: precaución.,VO,"Mareo, confusión leve.",NeuroPsiquiatria.csv,—
,Anticolinérgico (distonía aguda),Biperideno,5 mg/ml IM/IV; 2 mg VO,Distonía aguda: 2.5–5 mg IM/IV; VO mantenimiento 2 mg/8–12 h.,,IR/IH: precaución.,"IM, IV, VO","Anticolinérgico: sequedad, retención urinaria.",NeuroPsiquiatria.csv,—
,Sedación/analgesia adyuvante,Ketamina (subanestésica),50 mg/ml; 100 mg/ml,Dolor/neurosedación: 0.1–0.3 mg/kg IV; sedación 0.5–1 mg/kg IV.,,IR: sin ajuste. IH: precaución.,"IV, IM",Útil en depresión resistente (off‑label hospital) bajo protocolos.,NeuroPsiquiatria.csv,0.1–1 mg/kg según objetivo.
Urgencias,Analgesia/Antitérmico,Paracetamol,500 mg; 650 mg; 1000 mg (IV/VO),Adulto: 1 g cada 6–8 h (máx 4 g/día; 3 g/día si >65 a o hepatopatía).,10–15 mg/kg/dosis cada 6–8 h (máx 60 mg/kg/día).,IR: sin ajuste relevante. IH: reducir dosis; evitar en insuficiencia grave o hepatopatía activa.,"IV, VO",Evitar combinaciones duplicadas; vigilar hepatotoxicidad.,Urgencias.csv,
Urgencias,Analgesia/Antitérmico,Ibuprofeno,400 mg; 600 mg (VO),400–600 mg cada 8 h (máx 2400 mg/día).,10 mg/kg cada 8 h (máx 30 mg/kg/día).,IR: evitar si ClCr <30 ml/min; precaución en deshidratación. IH: precaución.,VO,Riesgo GI/renal; asociar gastroprotección si riesgo.,Urgencias.csv,
Urgencias,Analgesia/Antitérmico,Metamizol (dipirona),1 g; 2 g (IV/IM/VO),1–2 g cada 8 h (máx 4 g/día).,15 mg/kg/dosis cada 8 h.,IR/IH: reducir dosis; evitar en insuficiencia grave. ,"IV, IM, VO",Raro: agranulocitosis; vigilar.,Urgencias.csv,
Urgencias,Analgesia/Antitérmico,Ketorolaco,10 mg (VO); 30 mg (IV/IM),30 mg IV/IM cada 6 h (máx 90 mg/día <65 a; máx 60 mg/día ≥65 a o bajo peso). VO 10 mg cada 6–8 h.,0.5 mg/kg IM/IV (máx según edad).,IR: contraindicado en IR moderada-severa; IH: precaución.,"IV, IM, VO",Duración máx 5 días; riesgo sangrado.,Urgencias.csv,
,Opioide,Morfina,10 mg/ml ampolla; comprimidos liberación inmediata/retardada,Dolor agudo IV: 2–5 mg en bolos titulados; repetir según respuesta.,0.05–0.1 mg/kg IV/SC/IM; perfusión según necesidad.,IR: acumula metabolitos; reducir 25–50% si ClCr <60. IH: reducir y vigilar.,"IV, SC, IM, VO",Naloxona disponible; vigilar depresión respiratoria.,Urgencias.csv,
,Opioide,Fentanilo,50 mcg/ml ampolla,25–100 mcg IV cada 5–10 min según respuesta.,1–2 mcg/kg IV lenta o perfusión.,IR: sin ajuste significativo. IH: reducir dosis.,"IV, IM",Inicio rápido; monitorizar.,Urgencias.csv,
,Opioide/mixto,Tramadol,50 mg cáps; 100 mg/2 ml IV,50–100 mg cada 6–8 h (máx 400 mg/día).,1–2 mg/kg cada 6–8 h.,"IR: si ClCr <30, cada 12 h (máx 200 mg/día). IH: reducir.","VO, IV",Riesgo convulsiones/serotoninérgico.,Urgencias.csv,
Urgencias,Antiemético,Ondansetrón,4 mg/2 ml IV; 8 mg VO,4 mg IV/VO cada 8–12 h (máx 16 mg/día).,0.1 mg/kg/dosis (máx 4 mg).,IR: sin ajuste. IH: máx 8 mg/día en insuficiencia hepática moderada‑grave.,"IV, VO",Prolongación QT (alta dosis).,Urgencias.csv,
,Antiemético/procinético,Metoclopramida,10 mg/2 ml IV; 10 mg VO,10 mg cada 8 h (máx 30 mg/día).,0.1–0.15 mg/kg cada 8 h.,IR: reducir 50% si ClCr <40. IH: reducir; evitar en Parkinson.,"IV, VO",Efectos extrapiramidales; evitar >3 meses.,Urgencias.csv,
